req,pos,labels
"Each college has a website
Each college is structured into departments, each of which brings together specific teachers.",DET NOUN VERB DET NOUN SPACE DET NOUN AUX VERB ADP NOUN PUNCT PRON ADP PRON VERB ADV ADJ NOUN PUNCT,O entity relationship O attr O O entity O relationship O entity O O O O relationship O O entity O
"Among these teachers, one of them is responsible for the department.
",ADP DET NOUN PUNCT NUM ADP PRON AUX ADJ ADP DET NOUN PUNCT SPACE,O O entity O O O O O relationship O O entity O O
"A teacher is defined by his surname, first name, phone, email, date of taking office and his index.
",DET NOUN AUX VERB ADP PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN ADP VERB NOUN CCONJ PRON NOUN PUNCT SPACE,O entity O relationship O O attr O O attr O attr O attr O attr O O O O O attr O O
"Each teacher teaches only one subject.
",DET NOUN VERB ADV NUM NOUN PUNCT SPACE,O entity relationship O O entity O O
"Students take several subjects and receive a mark for each of them.
",NOUN VERB ADJ NOUN CCONJ VERB DET NOUN ADP PRON ADP PRON PUNCT SPACE,entity relationship O entity O O O O O O O O O O
"For each student, we want to manage his name, first name, phone, email, as well as his year of entry to college.
",ADP DET NOUN PUNCT PRON VERB PART VERB PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV ADV ADP PRON NOUN ADP NOUN ADP NOUN PUNCT SPACE,O O entity O O O O O O attr O O attr O attr O attr O O O O O attr O O O entity O O
"A subject can be taught by several teachers but always takes place in the same classroom (each having a specific number of places).
",DET NOUN AUX AUX VERB ADP ADJ NOUN CCONJ ADV VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB DET ADJ NOUN ADP NOUN PUNCT PUNCT SPACE,O entity O O relationship O O entity O O O O O O O entity O O O O O attr O O O O O
"We want to be able to calculate the average by subject as well as by department
We also want to calculate the general average of a student and be able to display the subjects in which he has not been noted
Finally, we must be able to print the data sheet (, first name, phone, email) of a teacher or a student.",PRON VERB PART AUX ADJ PART VERB DET NOUN ADP NOUN ADV ADV ADP ADP NOUN SPACE PRON ADV VERB PART VERB DET ADJ NOUN ADP DET NOUN CCONJ AUX ADJ PART VERB DET NOUN ADP PRON PRON AUX PART AUX VERB SPACE ADV PUNCT PRON AUX AUX ADJ PART VERB DET NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP DET NOUN CCONJ DET NOUN PUNCT,O O O O O O O O O O entity O O O O entity O O O O O O O O O O O entity O O O O O O entity O O O relationship O O O O O O O O O O O O O O O O O O attr O attr O attr O O O entity O O entity O
"Consider the following sentences:

A directory contains files
A room contains walls
Modems and keyboards are input/output devices
A stock transaction is a purchase or a sale
A bank account can belong to a natural or legal person",VERB DET VERB NOUN PUNCT SPACE DET NOUN VERB NOUN SPACE DET NOUN VERB NOUN SPACE PROPN CCONJ NOUN AUX NOUN SYM NOUN NOUN SPACE DET NOUN NOUN AUX DET NOUN CCONJ DET NOUN SPACE DET NOUN NOUN AUX VERB ADP DET ADJ CCONJ ADJ NOUN,O O O O O O O entity relationship entity O O entity relationship entity O entity O entity relationship O O O entity O O O entity relationship O entity O O entity O O O entity O relationship O O entity O entity O
"Either in a school that performs the following functions:
Develop catalogs that describe the courses and give the estimated dates of the sessions.
",CCONJ ADP DET NOUN PRON VERB DET VERB NOUN PUNCT SPACE VERB NOUN PRON VERB DET NOUN CCONJ VERB DET VERB NOUN ADP DET NOUN PUNCT SPACE,O O O O O O O O O O O O O O O O entity O O O O O O O entity O O
"Register people who wish to participate in the sessions and send them their invitation.
",PROPN NOUN PRON VERB PART VERB ADP DET NOUN CCONJ VERB PRON PRON NOUN PUNCT SPACE,O entity O O O relationship O O entity O O O O O O O
Determine the trainers who will lead the sessions.,VERB DET NOUN PRON AUX VERB DET NOUN PUNCT,O O entity O O relationship O entity O
"Some sessions may be led by individual contractors.
",DET NOUN AUX AUX VERB ADP ADJ NOUN PUNCT SPACE,O entity O O relationship O O entity O O
Some courses are organized into sectors.,DET NOUN AUX VERB ADP NOUN PUNCT,O entity O relationship O entity O
The courses use referenced documents.,DET NOUN VERB VERB NOUN PUNCT,O entity relationship O entity O
"A person is characterized by his name, his first name, his sex and his age.",DET NOUN AUX VERB ADP PRON NOUN PUNCT PRON ADJ NOUN PUNCT PRON NOUN CCONJ PRON NOUN PUNCT,O entity O O O O attr O O O attr O O attr O O attr O
"The attributes of the class are private; the name, the first name and the age of the person must be accessible by public operations.",DET NOUN ADP DET NOUN AUX ADJ PUNCT DET NOUN PUNCT DET ADJ NOUN CCONJ DET NOUN ADP DET NOUN AUX AUX ADJ ADP ADJ NOUN PUNCT,O O O O O O O O O attr O O O attr O O attr O O entity O O O O O O O
"In a university there are different classrooms, offices 
and departments.",ADP DET NOUN PRON VERB ADJ NOUN PUNCT NOUN SPACE CCONJ NOUN PUNCT,O O entity O O O entity O entity O O entity O
"A department has a name and it 
contains many offices.",DET NOUN VERB DET NOUN CCONJ PRON SPACE VERB ADJ NOUN PUNCT,O entity O O attr O O O relationship O entity O
"A person working at the 
university has a unique ID and can be a professor or 
an employee.
",DET NOUN VERB ADP DET SPACE NOUN VERB DET ADJ NOUN CCONJ AUX AUX DET NOUN CCONJ SPACE DET NOUN PUNCT SPACE,O entity relationship O O O entity O O O attr O O relationship O entity O O O entity O O
"A professor can be a full, associate or assistant 
professor and he/she is enrolled in one department.
",DET NOUN AUX AUX DET ADJ PUNCT NOUN CCONJ NOUN SPACE NOUN CCONJ PRON SYM PRON AUX VERB ADP NUM NOUN PUNCT SPACE,O entity O relationship O entity O entity O entity O entity O O O O O relationship O O entity O O
"Offices and classrooms have a number ID, and a 
classroom has a number of seats.
",NOUN CCONJ NOUN VERB DET NOUN PROPN PUNCT CCONJ DET SPACE NOUN VERB DET NOUN ADP NOUN PUNCT SPACE,entity O entity O O O attr O O O O entity O O O O attr O O
"Every employee works in an office.
",DET NOUN VERB ADP DET NOUN PUNCT SPACE,O entity relationship O O entity O O
"The factory produces several lines of furniture, each with a different name and consisting of several pieces of furniture of different types (beds, tables, chairs, …).",DET NOUN VERB ADJ NOUN ADP NOUN PUNCT PRON ADP DET ADJ NOUN CCONJ VERB ADP ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT,O O O O entity O O O O O O O attr O relationship O O entity O O O O attr O O O O O O O O O O
"All furniture pieces have a type, a single reference (eg CC6578) and a selling price.",DET NOUN NOUN VERB DET NOUN PUNCT DET ADJ NOUN PUNCT PROPN PROPN PUNCT CCONJ DET NOUN NOUN PUNCT,O O entity O O attr O O O attr O O O O O O O attr O
The major competitive advantage of this innovative plant is the fact that each component produced can be used in more than one piece of furniture.,DET ADJ ADJ NOUN ADP DET ADJ NOUN AUX DET NOUN SCONJ DET NOUN VERB AUX AUX VERB ADP ADJ ADP NUM NOUN ADP NOUN PUNCT,O O O O O O O O O O O O O entity O O O O O O O O entity O O O
Each piece of furniture is thus composed of several components.,DET NOUN ADP NOUN AUX ADV VERB ADP ADJ NOUN PUNCT,O entity O O O O relationship O O entity O
The same component can be used more than once in the same piece.,DET ADJ NOUN AUX AUX VERB ADJ ADP ADV ADP DET ADJ NOUN PUNCT,O O entity O O O O O O O O O entity O
"Every type of component produced is assigned a unique numerical code, a manufacturing price and a type (screw, hinge, shelf …).",DET NOUN ADP NOUN VERB AUX VERB DET ADJ PROPN NOUN PUNCT DET NOUN NOUN CCONJ DET NOUN PUNCT PROPN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PUNCT,O attr O entity O O O O O O attr O O O attr O O attr O O O O O O O O O
The furniture is then sold in various stores throughout the world.,DET NOUN AUX ADV VERB ADP ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O entity O O O O
Each store has a different address and a fax number.,DET NOUN VERB DET ADJ NOUN CCONJ DET NOUN NOUN PUNCT,O entity O O O attr O O attr attr O
"To make the manufacturing process more efficient, stores have to place orders everytime they need to replenish their stock.",PART VERB DET NOUN NOUN ADV ADJ PUNCT NOUN VERB PART VERB NOUN NOUN PRON VERB PART VERB PRON NOUN PUNCT,O O O O O O O O entity O O relationship entity O O O O O O O O
These orders must also be stored in the database.,DET NOUN AUX ADV AUX VERB ADP DET NOUN PUNCT,O entity O O O relationship O O entity O
"Each order has a order number, a date, the store that placed the order as well as a list of all the ordered furniture and their quantities.",DET NOUN VERB DET NOUN NOUN PUNCT DET NOUN PUNCT DET NOUN PRON VERB DET NOUN ADV ADV ADP DET NOUN ADP DET DET VERB NOUN CCONJ PRON NOUN PUNCT,O entity O O entity attr O O attr O O entity O O O entity O O O O O O O O O O O O O O
"It should be possible to store the national id number (NIN), tax identification number (TIN), name and address for every client.",PRON AUX AUX ADJ PART VERB DET PROPN PROPN PROPN NOUN PUNCT PROPN PUNCT PUNCT NOUN NOUN NOUN PUNCT PROPN PUNCT PUNCT NOUN CCONJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O O O O O attr O O O O O O attr O attr O O entity O
The NIN and TIN must be different for every client and all clients should have at least a TIN and a name.,DET PROPN CCONJ PROPN AUX AUX ADJ SCONJ DET NOUN CCONJ DET NOUN AUX VERB ADV ADJ DET NOUN CCONJ DET NOUN PUNCT,O O O O O O O O O entity O O O O O O O O O O O attr O
The database should also contain information about the bicycle models that can be rented-,DET NOUN AUX ADV VERB NOUN ADP DET NOUN NOUN PRON AUX AUX VERB,O O O O O O O O entity O O O O O
"Each model has an unique name, a type (that can only be road, mountain, bmx or hybrid) and the number of gears.",DET NOUN VERB DET ADJ NOUN PUNCT DET NOUN PUNCT PRON AUX ADV AUX NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ DET NOUN ADP NOUN PUNCT,O O O O O attr O O attr O O O O O O O O O O O O O O O O O attr O
Each bicycle has a unique identifying number and a model.,DET NOUN VERB DET ADJ NOUN NOUN CCONJ DET NOUN PUNCT,O entity O O O O O O O O O
The company has several different stores where bicycles can be picked up and returned.,DET NOUN VERB ADJ ADJ NOUN SCONJ NOUN AUX AUX VERB ADP CCONJ VERB PUNCT,O O O O O entity O O O O O O O O O
Each one of these stores is identified by an unique name and has an address (both mandatory).,DET NOUN ADP DET NOUN AUX VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN PUNCT PRON ADJ PUNCT PUNCT,O O O O entity O O O O O attr O O O attr O O O O O
"When a reservation is made, the following data must be known: which client did the reservation, when will he pick up the bike (day), which bike model he wants and where will he pick up the bike (store).",SCONJ DET NOUN AUX VERB PUNCT DET VERB NOUN AUX AUX VERB PUNCT DET NOUN VERB DET NOUN PUNCT SCONJ AUX PRON VERB ADP DET NOUN PUNCT NOUN PUNCT PUNCT DET NOUN NOUN PRON VERB CCONJ SCONJ AUX PRON VERB ADP DET NOUN PUNCT NOUN PUNCT PUNCT,O O entity O O O O O O O O O O O entity relationship O entity O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Consider a company with six factories that builds engine components.,VERB DET NOUN ADP NUM NOUN PRON VERB NOUN NOUN PUNCT,O O O O O entity O O O O O
"A single factory takes care of the assembly,
Customers place orders, priority customer places orders first with 20% more of the order.",DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT SPACE NOUN VERB NOUN PUNCT NOUN NOUN NOUN NOUN ADV ADP NUM NOUN ADJ ADP DET NOUN PUNCT,O O entity O O O O O O O entity relationship entity O O O O entity O O O O O O O O O
Orders are received by the sales department.,NOUN AUX VERB ADP DET NOUN NOUN PUNCT,entity O O O O entity O O
If the customer places more than ten orders then he has priority.,SCONJ DET NOUN VERB ADJ ADP NUM NOUN ADV PRON VERB NOUN PUNCT,O O O O O O O entity O O O O O
"After processing the orders received, the sales department obtains a breakdown of the parts: manufactured parts and subcontracted parts.
",ADP VERB DET NOUN VERB PUNCT DET NOUN NOUN VERB DET NOUN ADP DET NOUN PUNCT VERB NOUN CCONJ ADJ NOUN PUNCT SPACE,O O O entity O O O entity O O O O O O O O O O O O O O O
"The sales department can print two types of listings: home listing sent to the factory, and a listing of the subtracted components sent to the stock management department which takes care of the supply of raw materials.",DET NOUN NOUN AUX VERB NUM NOUN ADP NOUN PUNCT NOUN NOUN VERB ADP DET NOUN PUNCT CCONJ DET NOUN ADP DET VERB NOUN VERB ADP DET NOUN NOUN NOUN PRON VERB NOUN ADP DET NOUN ADP ADJ NOUN PUNCT,O entity O O relationship O O O O O O O relationship O O entity O O O O O O entity O relationship O O O entity O O O O O O O O O O O
Among the tasks also of the sales department is the follow-up of invoicing.,ADP DET NOUN ADV ADP DET NOUN NOUN AUX DET NOUN PUNCT NOUN ADP NOUN PUNCT,O O O O O O entity O O O O O O O O O
"Or a media library for the borrowing of works by registered customers using a registration form containing their information (name, address, etc.).",CCONJ DET NOUN NOUN ADP DET NOUN ADP NOUN ADP VERB NOUN VERB DET NOUN NOUN VERB PRON NOUN PUNCT NOUN PUNCT NOUN PUNCT X PUNCT PUNCT PUNCT,O O O entity O O relationship O entity O O entity O O O O O O O O O O O O O O O O
"We have three types of customers, a customer at reduced rates, a customer who subscribes for a year or a customer at a normal rate.",PRON VERB NUM NOUN ADP NOUN PUNCT DET NOUN ADP ADJ NOUN PUNCT DET NOUN PRON VERB ADP DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN PUNCT,O O O O O entity O O entity O O O O O entity O O O O O O O entity O O O O O
"A customer can borrow different types of work: audio, video or books.",DET NOUN AUX VERB ADJ NOUN ADP NOUN PUNCT ADJ PUNCT NOUN CCONJ NOUN PUNCT,O entity O relationship O O O entity O entity O entity O entity O
These works are recorded in the media library by a unique code.,DET NOUN AUX VERB ADP DET NOUN NOUN ADP DET ADJ NOUN PUNCT,O entity O relationship O O O entity O O O O O
"On the other hand, there are documents that the customer cannot borrow, but can only be consulted on site.
",ADP DET ADJ NOUN PUNCT PRON VERB NOUN PRON DET NOUN AUX PART VERB PUNCT CCONJ AUX ADV AUX VERB ADP NOUN PUNCT SPACE,O O O O O O O O O O entity O O relationship O O O O O O O O O O
"Each book has a particular type, for example the books have a ""novel"" type, or are of the ""detective"" type, etc.
",DET NOUN VERB DET ADJ NOUN PUNCT ADP NOUN DET NOUN VERB DET PUNCT ADJ PUNCT NOUN PUNCT CCONJ AUX ADP DET PUNCT NOUN PUNCT NOUN PUNCT X X SPACE,O entity O O O attr O O O O entity O O O O O attr O O O O O O O O attr O O O O
"After borrowing a book, the librarian creates a borrowing sheet.",ADP VERB DET NOUN PUNCT DET NOUN VERB DET NOUN NOUN PUNCT,O relationship O entity O O O O O relationship O O
"This sheet must contain the name of the customer, the date of loan and the date of return.",DET NOUN AUX VERB DET NOUN ADP DET NOUN PUNCT DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT,O O O O O O O O entity O O O O O O O O O O O
"The librarian can add or delete a client or a work.
",DET NOUN AUX VERB CCONJ VERB DET NOUN CCONJ DET NOUN PUNCT SPACE,O O O O O O O O O O entity O O
"The borrowing of a document by a client follows certain rules:
The maximum number of documents to borrow is 5, if it exceeds this number then any new borrowing will be impossible.
",DET NOUN ADP DET NOUN ADP DET NOUN VERB ADJ NOUN PUNCT SPACE DET ADJ NOUN ADP NOUN PART VERB AUX NUM PUNCT SCONJ PRON VERB DET NOUN ADV DET ADJ NOUN AUX AUX ADJ PUNCT SPACE,O relationship O O O O O O O O O O O O O O O O O relationship O O O O O O O O O O O relationship O O O O O
"If the customer who has borrowed a document and who has not returned it, his return deadline will be blocked from making any new loan until he has returned the work, even if the maximum number of borrowing is not reached.",SCONJ DET NOUN PRON AUX VERB DET NOUN CCONJ PRON AUX PART VERB PRON PUNCT PRON NOUN NOUN AUX AUX VERB ADP VERB DET ADJ NOUN SCONJ PRON AUX VERB DET NOUN PUNCT ADV SCONJ DET ADJ NOUN ADP NOUN AUX PART VERB PUNCT,O O entity O O O O O O O O O O O O O O O O O O O O O O O O O O O O entity O O O O O O O relationship O O O O
A company consists of departments.,DET NOUN VERB ADP NOUN PUNCT,O entity O O entity O
Departments are located in one or more offices.,NOUN AUX VERB ADP NUM CCONJ ADJ NOUN PUNCT,entity O O O O O O entity O
One office acts as a headquarter.,NUM NOUN VERB ADP DET NOUN PUNCT,O entity O O O entity O
Eachdepartment has a manager who is recruited from the set of employees.,PROPN VERB DET NOUN PRON AUX VERB ADP DET NOUN ADP NOUN PUNCT,O O O entity O O relationship O O O O entity O
Each college has its own website.,DET NOUN VERB PRON ADJ NOUN PUNCT,O entity relationship O O entity O
"Each college is structured into departments, each of which has specific teachers.",DET NOUN AUX VERB ADP NOUN PUNCT PRON ADP PRON VERB ADJ NOUN PUNCT,O entity O relationship O entity O O O O relationship O entity O
"Among these teachers, one of them is responsible for the department.",ADP DET NOUN PUNCT NUM ADP PRON AUX ADJ ADP DET NOUN PUNCT,O O entity O O O O O relationship O O entity O
"A teacher is defined by his name, first name, phone number, e-mail, date of employment and his index.",DET NOUN AUX VERB ADP PRON NOUN PUNCT ADJ NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT NOUN ADP NOUN CCONJ PRON NOUN PUNCT,O entity O O O O attr O O attr O attr O O O O O O attr O O O O attr O
Each teacher teaches only one subject.,DET NOUN VERB ADV NUM NOUN PUNCT,O entity relationship O O entity O
The students take several subjects and receive a grade for each of them.,DET NOUN VERB ADJ NOUN CCONJ VERB DET NOUN ADP PRON ADP PRON PUNCT,O entity relationship O entity O O O O O O O O O
"For each student, we want to manage his name, first name, phone number, e-mail, as well as his year of entry to the college.",ADP DET NOUN PUNCT PRON VERB PART VERB PRON NOUN PUNCT ADJ NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT ADV ADV ADP PRON NOUN ADP NOUN ADP DET NOUN PUNCT,O O entity O O O O O O attr O O attr O attr O O O O O O O O O O attr O O O O entity O
A subject can be taught by several teachers but always in the same classroom (each one having a certain number of seats).,DET NOUN AUX AUX VERB ADP ADJ NOUN CCONJ ADV ADP DET ADJ NOUN PUNCT DET NOUN VERB DET ADJ NOUN ADP NOUN PUNCT PUNCT,O entity O O O O O entity O O O O O O O O O O O O O O O O O
We want to be able to calculate the average per subject and per department.,PRON VERB PART AUX ADJ PART VERB DET NOUN ADP NOUN CCONJ ADP NOUN PUNCT,O O O O O O O O O O entity O O entity O
We also want to calculate a student's overall average and display the subjects in which he or she was not graded.,PRON ADV VERB PART VERB DET NOUN PART ADJ NOUN CCONJ VERB DET NOUN ADP PRON PRON CCONJ PRON AUX PART VERB PUNCT,O O O O O O entity O O O O O O entity O O O O O O O O O
"Finally, we want to be able to print the data sheet (, first name, phone, e-mail) of a teacher or a student.",ADV PUNCT PRON VERB PART AUX ADJ PART VERB DET NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN PUNCT ADP DET NOUN CCONJ DET NOUN PUNCT,O O O O O O O O O O O O O O O attr O attr O O O O O O O entity O O entity O
"Design a system for a movie-shop, in order to
handle ordering of movies and browsing of the
catalogue of the store, and user subscriptions with
rechargeable cards.
",NOUN DET NOUN ADP DET NOUN PUNCT NOUN PUNCT ADP NOUN PART SPACE VERB NOUN ADP NOUN CCONJ VERB ADP DET SPACE NOUN ADP DET NOUN PUNCT CCONJ NOUN NOUN ADP SPACE ADJ NOUN PUNCT SPACE,O O O O O entity O O O O O O O O O O entity O O O O O O O O O O O O O O O O O O O
"Only subscribers are allowed hiring movies with
their own card.
",ADJ NOUN AUX VERB VERB NOUN ADP SPACE PRON ADJ NOUN PUNCT SPACE,O entity O O relationship entity O O O O O O O
"Both users and subscribers can buy a movie and
their data are saved in the related order.
",DET NOUN CCONJ NOUN AUX VERB DET NOUN CCONJ SPACE PRON NOUN AUX VERB ADP DET ADJ NOUN PUNCT SPACE,O entity O entity O relationship O entity O O O O O O O O O O O O
When a movie is not available it is ordered,SCONJ DET NOUN AUX PART ADJ PRON AUX VERB,O O entity O O O O O O
We want to automate the management of a small municipal library.,PRON VERB PART VERB DET NOUN ADP DET ADJ ADJ NOUN PUNCT,O O O O O O O O O O entity O
"For this, we analyzed its operation to obtain the following list of rules and statements:
Members have a first name (character string) and a surname (character string).
",ADP PRON PUNCT PRON VERB PRON NOUN PART VERB DET VERB NOUN ADP NOUN CCONJ NOUN PUNCT SPACE NOUN VERB DET ADJ NOUN PUNCT NOUN NOUN PUNCT CCONJ DET NOUN PUNCT NOUN NOUN PUNCT PUNCT SPACE,O O O O O O O O O O O O O O O O O O entity O O O O O O O O O O attr O O O O O O
"The library consists of a set of documents and a set of patrons.
",DET NOUN VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT SPACE,O entity O O O O O entity O O O O entity O O
"Members are subscribed or unsubscribed on a simple request.
",NOUN AUX VERB CCONJ VERB ADP DET ADJ NOUN PUNCT SPACE,entity relationship relationship O O O O O entity O O
"New documents are added to the library regularly.
",ADJ NOUN AUX VERB ADP DET NOUN ADV PUNCT SPACE,O entity relationship O O O entity O O O
"These documents are either journals or volumes.
",DET NOUN AUX CCONJ NOUN CCONJ NOUN PUNCT SPACE,O entity relationship O entity O entity O O
"Volumes are either dictionaries, books or comics.
",NOUN AUX PRON NOUN PUNCT NOUN CCONJ NOUN PUNCT SPACE,entity relationship O entity O entity O entity O O
"The documents are characterized by a title (character string).
",DET NOUN AUX VERB ADP DET NOUN PUNCT NOUN NOUN PUNCT PUNCT SPACE,O entity relationship O O O attr O O O O O O
Volumes also have an author (character string).,NOUN ADV VERB DET NOUN PUNCT NOUN NOUN PUNCT PUNCT,entity O O O attr O O O O O
"Bds also have a recipient name (character string).
",PROPN ADV VERB DET ADJ NOUN PUNCT NOUN NOUN PUNCT PUNCT SPACE,entity O O O O O O O O O O O
"The newspapers have, in addition to the characteristics of the documents, a date of publication (a date).
",DET NOUN VERB PUNCT ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NOUN ADP NOUN PUNCT DET NOUN PUNCT PUNCT SPACE,O entity O O O O O O O O O entity O O attr O O O O attr O O O
"Only books can be borrowed.
",ADJ NOUN AUX AUX VERB PUNCT SPACE,O entity O O O O O
"A member can borrow or return a book.
",DET NOUN AUX VERB CCONJ VERB DET NOUN PUNCT SPACE,O entity O relationship O O O entity O O
"Members can borrow books (and only books) and it must be possible to know at any time which books a member has borrowed.
",NOUN AUX VERB NOUN PUNCT CCONJ ADJ NOUN PUNCT CCONJ PRON AUX AUX ADJ PART VERB ADP DET NOUN PRON VERB DET NOUN AUX VERB PUNCT SPACE,entity O relationship entity O O O entity O O O O O O O O O O O O entity O entity O O O O
"A member can borrow a maximum of 3 books.
",DET NOUN AUX VERB DET NOUN ADP NUM NOUN PUNCT SPACE,O entity O relationship O O O O entity O O
The return date for a borrowed book is fixed at the time of the loan.,DET NOUN NOUN ADP DET VERB NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT,O O attr O O O entity O O O O O O O O O
This date can be extended upon request.,DET NOUN AUX AUX VERB SCONJ NOUN PUNCT,O attr O O O O entity O
