req,pos,labels
"An employee only works in one agency, but can request a transfer to another agency.",DET NOUN ADV VERB ADP NUM NOUN PUNCT CCONJ AUX VERB DET NOUN ADP DET NOUN PUNCT,O entity O relationship relationship O entity O O O O O O O O entity O
"An employee can manage one or more customers, the latter has a single account in a given agency, a name, first name and an address.",DET NOUN AUX VERB NUM CCONJ ADJ NOUN PUNCT DET ADJ VERB DET ADJ NOUN ADP DET VERB NOUN PUNCT DET NOUN PUNCT ADJ NOUN CCONJ DET NOUN PUNCT,O entity O relationship O O O entity O O O relationship O O entity relationship O O entity O O attr O O attr O O attr O
"Each registered customer is assigned to an employee in the agency.
",DET VERB NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT SPACE,O O entity O relationship O O entity relationship O entity O O
An account can either be a paid or unpaid account.,DET NOUN AUX CCONJ AUX DET ADJ CCONJ ADJ NOUN PUNCT,O entity O O O O O O O entity O
Model a LAN in which we find two kinds of printers: ASCII printers can only print ASCII documents.,PROPN DET PROPN ADP PRON PRON VERB NUM NOUN ADP NOUN PUNCT ADJ NOUN AUX ADV VERB NOUN NOUN PUNCT,O O O O O O O O O O entity O O entity O O relationship O entity O
PostScript printers can print either ASCII or Postscript documents.,PROPN NOUN AUX VERB CCONJ ADJ CCONJ PROPN NOUN PUNCT,O entity O relationship O O O O entity O
The documents are sent around as content of packets.,DET NOUN AUX VERB ADP ADP NOUN ADP NOUN PUNCT,O entity O O O O O O entity O
"For each admitted animal, its name, breed (if any) and owner must be stored.",ADP DET VERB NOUN PUNCT PRON NOUN PUNCT NOUN PUNCT SCONJ PRON PUNCT CCONJ NOUN AUX AUX VERB PUNCT,O O O entity O relationship attr O entity O O O O O entity O O O O
Each animal should be given an unique numeric identifier.,DET NOUN AUX AUX VERB DET ADJ ADJ NOUN PUNCT,O entity O O O O O O attr O
"For each owner, its name, address and phone number should be stored.",ADP DET NOUN PUNCT PRON NOUN PUNCT NOUN CCONJ NOUN NOUN AUX AUX VERB PUNCT,O O entity O relationship attr O attr O O O O O O O
An unique numeric identifier should also be generated for each one of them.,DET ADJ ADJ NOUN AUX ADV AUX VERB ADP DET NUM ADP PRON PUNCT,O O O attr O O O O O O O O O O
An animal might be owner-less.,DET NOUN AUX AUX NOUN PUNCT ADJ PUNCT,O entity O O entity O O O
This happens frequently as the clinic often rescues abandoned dogs from the streets in order to treat them and get them new owners.,PRON VERB ADV SCONJ DET NOUN ADV VERB VERB NOUN ADP DET NOUN ADP NOUN PART VERB PRON CCONJ VERB PRON ADJ NOUN PUNCT,O O O O O O O O O O O O O O O O O O O O O O entity O
It should be possible to store information about a specific breed even if no animals of that breed have been treated at the clinic.,PRON AUX AUX ADJ PART VERB NOUN ADP DET ADJ NOUN ADV SCONJ DET NOUN ADP DET NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O entity O O O entity O O entity O O O O O O O
Each appointement always has a responsible physician.,DET NOUN ADV VERB DET ADJ NOUN PUNCT,O entity O relationship O O entity O
All appointements start at a certain date and time; and are attended by an animal (and of course its owner).,DET NOUN VERB ADP DET ADJ NOUN CCONJ NOUN PUNCT CCONJ AUX VERB ADP DET NOUN PUNCT CCONJ ADP NOUN PRON NOUN PUNCT PUNCT,O entity O O O O attr O attr O O O O O O entity O O O O relationship entity O O
"For each physician, his name, address and phone number should be stored.",ADP DET NOUN PUNCT PRON NOUN PUNCT NOUN CCONJ NOUN NOUN AUX AUX VERB PUNCT,O O entity O O attr O attr O O O O O O O
An unique numeric identifier should also be generated for each one of them.,DET ADJ ADJ NOUN AUX ADV AUX VERB ADP DET NUM ADP PRON PUNCT,O O O attr O O O O O O O O O O
"In an appointement, several medical conditions might be detected.",ADP DET NOUN PUNCT ADJ ADJ NOUN AUX AUX VERB PUNCT,O O entity O O O entity O O relationship O
Each condition has a common name and a scientific name.,DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,O entity relationship O O attr O O O attr O
No two conditions have the same scientific name.,DET NUM NOUN VERB DET ADJ ADJ NOUN PUNCT,O O entity O O O O attr O
It should be possible to store information about the most common conditions for each different breed in the database.,PRON AUX AUX ADJ PART VERB NOUN ADP DET ADV ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O entity O O O entity O O O O
Let the following sentences apply: A directory contains files.,VERB DET VERB NOUN VERB PUNCT DET NOUN VERB NOUN PUNCT,O O O O O O O entity relationship entity O
A room contains walls.,DET NOUN VERB NOUN PUNCT,O entity relationship entity O
Modems and keyboards are input/output devices.,PROPN CCONJ NOUN AUX NOUN SYM NOUN NOUN PUNCT,entity O entity O O O O entity O
A stock exchange transaction is a purchase or a sale.,DET NOUN NOUN NOUN AUX DET NOUN CCONJ DET NOUN PUNCT,O O O O O O entity O O entity O
A bank account can belong to a natural or legal person,DET NOUN NOUN AUX VERB ADP DET ADJ CCONJ ADJ NOUN,O O O O O O O O O O entity
"Each hotel contains a number of rooms, each room is rented by a fixed price.",DET NOUN VERB DET NOUN ADP NOUN PUNCT DET NOUN AUX VERB ADP DET VERB NOUN PUNCT,O entity relationship O O O entity O O entity O O O O O attr O
"The manager of the hotel manages the rental of the rooms.
",DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN PUNCT SPACE,O entity O O entity relationship O O O O entity O O
Access to the bathrooms is free since it is included in the price of the rooms.,NOUN ADP DET NOUN AUX ADJ SCONJ PRON AUX VERB ADP DET NOUN ADP DET NOUN PUNCT,O O O entity O O O O O O O O attr O O entity O
Some rooms do not have a bathroom.,DET NOUN AUX PART VERB DET NOUN PUNCT,O entity O O O O entity O
"The other rooms, such as kitchen, reception hall, are not part of the study.",DET ADJ NOUN PUNCT ADJ ADP NOUN PUNCT NOUN NOUN PUNCT AUX PART NOUN ADP DET NOUN PUNCT,O O entity O O O O O O O O O O O O O O O
People can rent one or more rooms in the hotel.,NOUN AUX VERB NUM CCONJ ADJ NOUN ADP DET NOUN PUNCT,entity O relationship O O O entity O O entity O
"In other words: the hotel accommodates a certain number of people.
",ADP ADJ NOUN PUNCT DET NOUN VERB DET ADJ NOUN ADP NOUN PUNCT SPACE,O O O O O entity relationship O O O O entity O O
"The reservation of a room is made by a customer, the manager looks for a free room, if there is the manager gives the price of the room to the customer who becomes the tenant of the room after having paid.",DET NOUN ADP DET NOUN AUX VERB ADP DET NOUN PUNCT DET NOUN VERB ADP DET ADJ NOUN PUNCT SCONJ PRON VERB DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN ADP AUX VERB PUNCT,O relationship O O entity O O O O entity O O entity O O O O entity O O O O O entity O O attr O O entity O O entity O O O O O O entity O O O O
"Otherwise, the customer leaves.",ADV PUNCT DET NOUN VERB PUNCT,O O O entity O O
"Every day, the mailman delivers registered mail in a geographical area assigned to him.",DET NOUN PUNCT DET NOUN VERB ADJ NOUN ADP DET ADJ NOUN VERB ADP PRON PUNCT,O O O O entity relationship O entity O O O O relationship O O O
The inhabitants are also associated with a geographical area.,DET NOUN AUX ADV VERB ADP DET ADJ NOUN PUNCT,O entity O O relationship O O O O O
There are two types of registered mail: letters and parcels.,PRON VERB NUM NOUN ADP VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT,O O O O O O entity O entity O entity O
"As several letter carriers can intervene in the same area, we want, for each registered letter, the letter carrier who delivered it, in addition to the addressee.",SCONJ ADJ NOUN NOUN AUX VERB ADP DET ADJ NOUN PUNCT PRON VERB PUNCT ADP DET VERB NOUN PUNCT DET NOUN NOUN PRON VERB PRON PUNCT ADP NOUN ADP DET NOUN PUNCT,O O entity O O O O O O O O O O O O O O entity O O entity O O O O O O O O O O O
"Each ingredient has a name, a measuring unit (e.g. olive oil is measured in liters, while eggs are unit based) and a quantity in stock.",DET NOUN VERB DET NOUN PUNCT DET VERB NOUN PUNCT ADV NOUN NOUN AUX VERB ADP NOUN PUNCT SCONJ NOUN AUX NOUN VERB PUNCT CCONJ DET NOUN ADP NOUN PUNCT,O entity O O attr O O O O O O O O O O O O O O O O O O O O O attr O O O
"There are no two ingredients with the same name.
",PRON VERB DET NUM NOUN ADP DET ADJ NOUN PUNCT SPACE,O O O O entity O O O attr O O
Each dish is composed of several ingredients in a certain quantity.,DET NOUN AUX VERB ADP ADJ NOUN ADP DET ADJ NOUN PUNCT,O entity O relationship O O entity O O O attr O
"An ingredient can, of course, be used in different dishes.",DET NOUN AUX PUNCT ADP NOUN PUNCT AUX VERB ADP ADJ NOUN PUNCT,O entity O O O O O O relationship O O entity O
A dish has an unique name and a numeric identifier.,DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,O entity O O O attr O O O attr O
There are several tables at the restaurant.,PRON VERB ADJ NOUN ADP DET NOUN PUNCT,O O O entity O O O O
Each one of them has an unique numeric identifier and a maximum ammount of people that can be seated there.,DET NOUN ADP PRON VERB DET ADJ ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN PRON AUX AUX VERB ADV PUNCT,O O O O O O O O attr O O O O O attr O O O O O O
"In each meal, several dishes are consumed at a certain table.",ADP DET NOUN PUNCT ADJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT,O O entity O O entity O relationship O O O entity O
The same dish can be eaten more than once in the same meal.,DET ADJ NOUN AUX AUX VERB ADJ ADP ADV ADP DET ADJ NOUN PUNCT,O O entity O O relationship O O O O O O entity O
A meal takes place in a certain date and has a start and end time.,DET NOUN VERB NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN CCONJ VERB NOUN PUNCT,O entity O O O O O attr O O O attr O O O O
Each meal has a responsible waiter.,DET NOUN VERB DET ADJ NOUN PUNCT,O entity O O relationship entity O
"A waiter has an unique numerical identifier, a name, an address and a phone number.",DET NOUN VERB DET ADJ PROPN NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN NOUN PUNCT,O entity O O O O attr O O attr O O attr O O O O O
In some cases it is important to store information about the client that consumed the meal.,ADP DET NOUN PRON AUX ADJ PART VERB NOUN ADP DET NOUN PRON VERB DET NOUN PUNCT,O O O O O O O O O O O entity O relationship O entity O
"A client has a tax identification number, a name and an address.",DET NOUN VERB DET NOUN NOUN NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,O entity O O O O O O O attr O O attr O
This subset concerns the follow-up of the personnel of the local agencies located in the regions.,DET NOUN VERB DET NOUN PUNCT NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN PUNCT,O O O O O O O O O entity O O O O O O O O O
Each region is managed by a regional department which is in charge of a certain number of local agencies.,DET NOUN AUX VERB ADP DET ADJ NOUN PRON AUX ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN PUNCT,O entity O relationship O O O O O O O relationship O O O O O O O O
A regional management is characterized by a code and a label.,DET ADJ NOUN AUX VERB ADP DET NOUN CCONJ DET NOUN PUNCT,O O O O O O O attr O O attr O
A factory has several machines.,DET NOUN VERB ADJ NOUN PUNCT,O entity relationship O entity O
Each one of them is operated by several workers.,DET NOUN ADP PRON AUX VERB ADP ADJ NOUN PUNCT,O O O O O relationship O O entity O
A worker might work in more than one machine.,DET NOUN AUX VERB ADP ADJ ADP NUM NOUN PUNCT,O entity O relationship O O O O entity O
"In this factory, several products of different types, are produced.",ADP DET NOUN PUNCT ADJ NOUN ADP ADJ NOUN PUNCT AUX VERB PUNCT,O O entity O O entity O O O O O O O
Each different type of product is produced in a single machine.,DET ADJ NOUN ADP NOUN AUX VERB ADP DET ADJ NOUN PUNCT,O O O O entity O O O O O entity O
"But, the same machine can produce more than one type of product.",CCONJ PUNCT DET ADJ NOUN AUX VERB ADJ ADP NUM NOUN ADP NOUN PUNCT,O O O O entity O relationship O O O O O entity O
Products from the same type are all produced from the same single material and have the same weigth.,NOUN ADP DET ADJ NOUN AUX PRON VERB ADP DET ADJ ADJ NOUN CCONJ VERB DET ADJ NOUN PUNCT,entity O O O O O O O O O O O attr O O O O attr O
Clients can issue purchase orders.,NOUN AUX VERB NOUN NOUN PUNCT,entity O O relationship entity O
Each order has a list of the desired products and their quantity.,DET NOUN VERB DET NOUN ADP DET VERB NOUN CCONJ PRON NOUN PUNCT,O entity relationship O O O O O entity O O attr O
"For each worker, the following data should be stored in the database: name (first and last), birth date, address and a list of his skills.",ADP DET NOUN PUNCT DET VERB NOUN AUX AUX VERB ADP DET NOUN PUNCT NOUN PUNCT ADV CCONJ ADJ PUNCT PUNCT NOUN NOUN PUNCT NOUN CCONJ DET NOUN ADP PRON NOUN PUNCT,O O entity O O O O O O O O O O O attr O O O O O O O attr O attr O O O O O attr O
"For each machine, the following data should be stored: serial number, make, model and purchase date.",ADP DET NOUN PUNCT DET VERB NOUN AUX AUX VERB PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN NOUN PUNCT,O O entity O O O O O O O O attr attr O attr O attr O relationship attr O
"For each client, the followig data should be stored: name, address, phone number and name of the contact person (if any).",ADP DET NOUN PUNCT DET NOUN NOUN AUX AUX VERB PUNCT NOUN PUNCT NOUN PUNCT NOUN NOUN CCONJ NOUN ADP DET NOUN NOUN PUNCT SCONJ PRON PUNCT PUNCT,O O entity O O O O O O O O attr O attr O O attr O attr O O O O O O O O O
"For each purchase order, the following date should be stored: order number, date it has been made, expected and actual delivery date.",ADP DET NOUN NOUN PUNCT DET VERB NOUN AUX AUX VERB PUNCT NOUN NOUN PUNCT NOUN PRON AUX AUX VERB PUNCT VERB CCONJ ADJ NOUN NOUN PUNCT,O O relationship entity O O O attr O O O O entity attr O attr O relationship O O O O O O O attr O
"The operation of the computer system must be as follows:

unloading a truck: when a truck arrives, an employee must enter the characteristics of each item into the system; the system then produces a list with a location for each item;
loading a truck: the characteristics of the items to be loaded into a truck are entered by an employee in order to indicate to the system to free up slots.
",DET NOUN ADP DET NOUN NOUN AUX AUX SCONJ VERB PUNCT SPACE VERB DET NOUN PUNCT SCONJ DET NOUN VERB PUNCT DET NOUN AUX VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NOUN ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT SPACE VERB DET NOUN PUNCT DET NOUN ADP DET NOUN PART AUX VERB ADP DET NOUN AUX VERB ADP DET NOUN ADP NOUN PART VERB ADP DET NOUN PART VERB ADP NOUN PUNCT SPACE,O O O O O O O O O O O O entity O O O O O O O O O entity O O O O O O entity O O O O O O O O O O O O O O O entity O O O O O O O O O O entity O O O O O O O O O O entity O O O O O O O O O O entity O O
"Loading and unloading is done manually.

",NOUN CCONJ NOUN AUX VERB ADV PUNCT SPACE,O O entity O O O O O
Warehouse employees are under the responsibility of a manager whose role is to supervise the proper application of the instructions.,PROPN NOUN AUX ADP DET NOUN ADP DET NOUN DET NOUN AUX PART VERB DET ADJ NOUN ADP DET NOUN PUNCT,entity entity O O O O O O entity O O O O relationship O O O O O entity O
Cinemas are composed of several rooms.,PROPN AUX VERB ADP ADJ NOUN PUNCT,entity O relationship O O entity O
Films are shown in theaters.,NOUN AUX VERB ADP NOUN PUNCT,entity O relationship O entity O
A house may have any number of pets living in it.,DET NOUN AUX VERB DET NOUN ADP NOUN VERB ADP PRON PUNCT,O entity O O O O O entity O O O O
The two possible types of pets that can live in a house are dogs and cats.,DET NUM ADJ NOUN ADP NOUN PRON AUX VERB ADP DET NOUN AUX NOUN CCONJ NOUN PUNCT,O O O O O entity O O relationship O O entity O entity O entity O
Each dog or cat has a name.,DET NOUN CCONJ NOUN VERB DET NOUN PUNCT,O entity O entity O O attr O
An animal’s house is its one and only home.,DET NOUN PART NOUN AUX PRON NUM CCONJ ADJ NOUN PUNCT,O O O entity O O O O O O O
A real estate agency lists a number of properties of different types for sale.,DET ADJ NOUN NOUN VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT,O O O entity O O O O entity O O O O O O
"The maximum number of properties the
agency can handle at a given time is 100.
",DET ADJ NOUN ADP NOUN DET SPACE NOUN AUX VERB ADP DET VERB NOUN AUX NUM PUNCT SPACE,O O O O entity O O entity O O O O O O O O O O
"All property entries show the property area in m2
, number of rooms, neighborhood name, and price.
",DET NOUN NOUN VERB DET NOUN NOUN ADP PROPN SPACE PUNCT NOUN ADP NOUN PUNCT NOUN NOUN PUNCT CCONJ NOUN PUNCT SPACE,O entity O O O entity attr O O O O O O attr O O O O O attr O O
"Description of each of the types of listed properties include:
Villa: has a swimming pool or not, and number of adjacent streets
Apartment: on which floor?",NOUN ADP PRON ADP DET NOUN ADP VERB NOUN VERB PUNCT SPACE PROPN PUNCT VERB DET NOUN NOUN CCONJ PART PUNCT CCONJ NOUN ADP ADJ NOUN SPACE NOUN PUNCT ADP DET NOUN PUNCT,O O O O O O O O entity relationship O O entity O O O O O O O O O O O O O O entity O O O attr O
"and is there a parking lot?
",CCONJ AUX PRON DET NOUN NOUN PUNCT SPACE,O O O O attr O O O
"A company offers several trains.
",DET NOUN VERB ADJ NOUN PUNCT SPACE,O entity relationship O entity O O
"A train is closed or open for reservation.
",DET NOUN AUX ADJ CCONJ ADJ ADP NOUN PUNCT SPACE,O entity O relationship O relationship O entity O O
"A customer can book one or more trains.
",DET NOUN AUX VERB NUM CCONJ ADJ NOUN PUNCT SPACE,O entity O O O O O entity O O
"Each reservation concerns a single passenger and a single train.
",DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT SPACE,O entity relationship O O entity O O O entity O O
"Two states for a reservation: either canceled or confirmed.
",NUM NOUN ADP DET NOUN PUNCT CCONJ VERB CCONJ VERB PUNCT SPACE,O O O O entity O O O O O O O
"A train has an arrival station or a departure station.
",DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT SPACE,O entity relationship O O entity O O attr entity O O
"A train has a departure day, a departure time, and an arrival time.
",DET NOUN VERB DET NOUN NOUN PUNCT DET NOUN NOUN PUNCT CCONJ DET NOUN NOUN PUNCT SPACE,O entity relationship O attr O O O attr O O O O O O O O
"A train may include stops at stations.
",DET NOUN AUX VERB NOUN ADP NOUN PUNCT SPACE,O entity O relationship entity O O O O
"A stop has a departure time and an arrival time.
",DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT SPACE,O entity relationship O attr O O O O O O O
"Each station organizes trips to one or more cities.
",DET NOUN VERB NOUN ADP NUM CCONJ ADJ NOUN PUNCT SPACE,O entity relationship O O O O O entity O O
"A station has a name, organizes trips to several cities.
",DET NOUN VERB DET NOUN PUNCT VERB NOUN ADP ADJ NOUN PUNCT SPACE,O entity relationship O attr O relationship O O O entity O O
"a station has a name.
",DET NOUN VERB DET NOUN PUNCT SPACE,O entity relationship O attr O O
"a customer or passenger has a surname, first name, address and telephone number.
",DET NOUN CCONJ NOUN VERB DET NOUN PUNCT ADJ NOUN PUNCT NOUN CCONJ NOUN NOUN PUNCT SPACE,O entity O entity relationship O attr O O attr O attr O O O O O
"a company has a name.
",DET NOUN VERB DET NOUN PUNCT SPACE,O entity relationship O attr O O
"a stop and linked to a departure time and an arrival time.
",DET NOUN CCONJ VERB ADP DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT SPACE,O entity O O O O attr O O O O O O O
"a city has a name.
",DET NOUN VERB DET NOUN PUNCT SPACE,O entity relationship O attr O O
"a train has an identifier, a departure and arrival date, a departure and arrival time.",DET NOUN VERB DET NOUN PUNCT DET NOUN CCONJ NOUN NOUN PUNCT DET NOUN CCONJ NOUN NOUN PUNCT,O entity relationship O attr O O attr O O O O O attr O O O O
An employee takes care of registering the loans of members who want to borrow the CD-ROMs.,DET NOUN VERB NOUN ADP VERB DET NOUN ADP NOUN PRON VERB PART VERB DET NOUN PUNCT NOUN PUNCT,O entity O O O relationship O O O entity O O O relationship O O O O O
The employee must first authenticate to perform this operation.,DET NOUN AUX ADV VERB PART VERB DET NOUN PUNCT,O entity O O O O O O O O
must be returned to the library employee after a period of 3 days.,AUX AUX VERB ADP DET NOUN NOUN ADP DET NOUN ADP NUM NOUN PUNCT,O O O O O O entity O O O O O O O
"The member can therefore reserve CD-ROMs containing games, each reservation must mention the borrower, the game and the date of reservation.",DET NOUN AUX ADV VERB PROPN PUNCT NOUN VERB NOUN PUNCT DET NOUN AUX VERB DET NOUN PUNCT DET NOUN CCONJ DET NOUN ADP NOUN PUNCT,O entity O O relationship O O O O entity O O entity O O O attr O O attr O O attr O entity O
"The member is notified when the game (cd) returns to the shelves.
",DET NOUN AUX VERB SCONJ DET NOUN PUNCT PROPN PUNCT VERB ADP DET NOUN PUNCT SPACE,O entity O O O O attr O O O O O O O O O
"The employee can also organize events, to do so he must provide the following information: the minimum and maximum number of participants, the games to be tested, the date of the event and the start time of the event.
",DET NOUN AUX ADV VERB NOUN PUNCT PART VERB ADV PRON AUX VERB DET VERB NOUN PUNCT DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT DET NOUN PART AUX VERB PUNCT DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN PUNCT SPACE,O entity O O relationship entity O O O O O O O O O O O O O O O O O O O O entity O O relationship O O attr O O entity O O O O O O entity O O
The member who wishes to participate in an event can register provided that there is still space available.,DET NOUN PRON VERB PART VERB ADP DET NOUN AUX VERB VERB SCONJ PRON VERB ADV NOUN ADJ PUNCT,O entity O O O relationship O O entity O O O O O O O O O O
If the member finds an available place then he can pay his subscription online by an external payment system.,SCONJ DET NOUN VERB DET ADJ NOUN ADV PRON AUX VERB PRON NOUN ADV ADP DET ADJ NOUN NOUN PUNCT,O O entity O O O O O O O relationship O entity O O O O O O O
"A token-ring based local-area-network (LAN) is a network consisting of nodes, in which network packets are sent around.",DET ADJ PUNCT NOUN VERB ADJ PUNCT NOUN PUNCT NOUN PUNCT PROPN PUNCT AUX DET NOUN VERB ADP NOUN PUNCT ADP PRON NOUN NOUN AUX VERB ADV PUNCT,O O O O O O O O O entity O entity O O O entity O O entity O O O entity entity O O O O
"Every node has a unique name within the network, and refers to its next node.",DET NOUN VERB DET ADJ NOUN ADP DET NOUN PUNCT CCONJ VERB ADP PRON ADJ NOUN PUNCT,O entity O O O attr O O entity O O O O O relationship entity O
Different kinds of nodes exist: workstations are originators of messages; servers and printers are network nodes that can receive messages.,ADJ NOUN ADP NOUN VERB PUNCT NOUN AUX NOUN ADP NOUN PUNCT NOUN CCONJ NOUN AUX NOUN NOUN PRON AUX VERB NOUN PUNCT,O O O entity O O entity O O O O O entity O entity O entity entity O O O O O
"Packets contain an originator, a destination and content, and are sent around on a network.",NOUN VERB DET NOUN PUNCT DET NOUN CCONJ NOUN PUNCT CCONJ AUX VERB ADP ADP DET NOUN PUNCT,entity O O attr O O attr O attr O O O O O O O entity O
A LAN is a circular configuration of nodes.,DET PROPN AUX DET ADJ NOUN ADP NOUN PUNCT,O entity O O O O O entity O
Each document is composed of one or more sheets.,DET NOUN AUX VERB ADP NUM CCONJ ADJ NOUN PUNCT,O entity O relationship O O O O entity O
"A sheet contains text and geometrical objects which constitute two types of graphic objects supporting operations such as: select, copy, cut, paste and move. 
",DET NOUN VERB NOUN CCONJ ADJ NOUN PRON VERB NUM NOUN ADP ADJ NOUN VERB NOUN ADJ ADP PUNCT ADJ PUNCT NOUN PUNCT VERB PUNCT VERB CCONJ NOUN PUNCT SPACE,O entity relationship entity O O O O O O O O O O O O O O O O O O O O O O O O O O
"We consider the following four geometric objects: circle, ellipse, square, rectangle.",PRON VERB DET VERB NUM ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ PUNCT NOUN PUNCT,O O O O O O O O entity O entity O entity O entity O
